candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
header_full.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,3,
header_full.py,rule_change,Channel/priority rule change (with description sync),1,82.5,1.0,1.0,0.5,1.0,0.0,23,0,
header_full.py,feature_add,Add quiet_hours gating step,1,83.14,1.0,1.0,0.543,1.0,0.0,21,0,
header_full.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,88.36,1.0,1.0,0.891,1.0,0.0,5,0,
header_full.py,explain_code,Explain notification flow,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
post_validation_block.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,3,
post_validation_block.py,rule_change,Channel/priority rule change (with description sync),1,81.31,1.0,1.0,0.421,1.0,0.0,22,0,
post_validation_block.py,feature_add,Add quiet_hours gating step,1,79.33,1.0,1.0,0.289,1.0,0.0,27,0,
post_validation_block.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,88.02,1.0,1.0,0.868,1.0,0.0,5,0,
post_validation_block.py,explain_code,Explain notification flow,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
split_inline.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,3,
split_inline.py,rule_change,Channel/priority rule change (with description sync),1,81.61,1.0,1.0,0.441,1.0,0.0,19,0,
split_inline.py,feature_add,Add quiet_hours gating step,1,83.82,1.0,1.0,0.588,1.0,0.0,14,0,
split_inline.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,86.91,1.0,1.0,0.794,1.0,0.0,7,0,
split_inline.py,explain_code,Explain notification flow,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
