candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
header_full.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,3,
header_full.py,rule_change,Channel/priority rule change (with description sync),1,82.5,1.0,1.0,0.5,1.0,0.0,23,0,
header_full.py,feature_add,Add quiet_hours gating step,1,81.86,1.0,1.0,0.457,1.0,0.0,25,0,
header_full.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,87.72,1.0,1.0,0.848,1.0,0.0,7,0,
header_full.py,explain_code,Explain notification flow,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,7,
post_validation_block.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,4,
post_validation_block.py,rule_change,Channel/priority rule change (with description sync),1,80.92,1.0,1.0,0.395,1.0,0.0,23,0,
post_validation_block.py,feature_add,Add quiet_hours gating step,1,80.92,1.0,1.0,0.395,1.0,0.0,23,0,
post_validation_block.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,86.44,1.0,1.0,0.763,1.0,0.0,9,0,
post_validation_block.py,explain_code,Explain notification flow,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,7,
split_inline.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,3,
split_inline.py,rule_change,Channel/priority rule change (with description sync),1,80.73,1.0,1.0,0.382,1.0,0.0,21,0,
split_inline.py,feature_add,Add quiet_hours gating step,1,82.06,1.0,1.0,0.471,1.0,0.0,18,0,
split_inline.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,86.91,1.0,1.0,0.794,1.0,0.0,7,0,
split_inline.py,explain_code,Explain notification flow,1,100.0,1.0,1.0,1.0,1.0,1.0,0,6,
