candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
bare_strings.py,add_value,Add new role value (MODERATOR),1,86.53,1.0,1.0,0.769,1.0,0.0,6,0,
bare_strings.py,rename_value,Rename ADMIN to MANAGER,1,86.53,1.0,1.0,0.769,1.0,0.0,6,0,
bare_strings.py,add_dispatch,Add permission_level dispatcher,1,84.22,1.0,1.0,0.615,1.0,0.0,10,0,
bare_strings.py,serialize_external,Serialize role for external API,1,87.12,1.0,1.0,0.808,1.0,0.0,5,0,
bare_strings.py,explain_code,Explain role typing style,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
enum_class.py,add_value,Add new role value (MODERATOR),1,87.72,1.0,1.0,0.848,1.0,0.0,5,0,
enum_class.py,rename_value,Rename ADMIN to MANAGER,1,87.27,1.0,1.0,0.818,1.0,0.0,6,0,
enum_class.py,add_dispatch,Add permission_level dispatcher,1,85.91,1.0,1.0,0.727,1.0,0.0,9,0,
enum_class.py,serialize_external,Serialize role for external API,1,88.19,1.0,1.0,0.879,1.0,0.0,4,0,
enum_class.py,explain_code,Explain role typing style,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
string_constants.py,add_value,Add new role value (MODERATOR),1,86.82,1.0,1.0,0.788,1.0,0.0,7,0,
string_constants.py,rename_value,Rename ADMIN to MANAGER,1,86.37,1.0,1.0,0.758,1.0,0.0,8,0,
string_constants.py,add_dispatch,Add permission_level dispatcher,1,85.45,1.0,1.0,0.697,1.0,0.0,10,0,
string_constants.py,serialize_external,Serialize role for external API,1,87.72,1.0,1.0,0.848,1.0,0.0,5,0,
string_constants.py,explain_code,Explain role typing style,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
