candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
method_chain.py,rule_change,Tax rate change,1,89.69,1.0,1.0,0.979,1.0,0.0,2,0,
method_chain.py,feature_add_local,Add local rule (single stage),1,81.69,0.8,1.0,0.979,1.0,0.0,2,0,
method_chain.py,feature_add_crosscut,Add cross-cutting parameter (tenant_id),1,89.22,1.0,1.0,0.948,1.0,0.0,5,0,
method_chain.py,extract_reuse,Identify tax reuse points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,2,
method_chain.py,add_branch,Conditional stage skip (VIP free shipping),1,89.22,1.0,1.0,0.948,1.0,0.0,5,0,
method_chain.py,explain_code,Explain order flow,1,52.0,0.0,1.0,1.0,1.0,0.2,0,7,
monolithic.py,rule_change,Tax rate change,1,89.2,1.0,1.0,0.947,1.0,0.0,2,0,
monolithic.py,feature_add_local,Add local rule (single stage),1,81.2,0.8,1.0,0.947,1.0,0.0,2,0,
monolithic.py,feature_add_crosscut,Add cross-cutting parameter (tenant_id),1,89.2,1.0,1.0,0.947,1.0,0.0,2,0,
monolithic.py,extract_reuse,Identify tax reuse points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,2,
monolithic.py,add_branch,Conditional stage skip (VIP free shipping),1,88.02,1.0,1.0,0.868,1.0,0.0,5,0,
monolithic.py,explain_code,Explain order flow,1,52.0,0.0,1.0,1.0,1.0,0.2,0,6,
split_chain.py,rule_change,Tax rate change,1,89.49,1.0,1.0,0.966,1.0,0.0,2,0,
split_chain.py,feature_add_local,Add local rule (single stage),1,81.49,0.8,1.0,0.966,1.0,0.0,2,0,
split_chain.py,feature_add_crosscut,Add cross-cutting parameter (tenant_id),1,87.93,1.0,1.0,0.862,1.0,0.0,8,0,
split_chain.py,extract_reuse,Identify tax reuse points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,2,
split_chain.py,add_branch,Conditional stage skip (VIP free shipping),1,87.67,1.0,1.0,0.845,1.0,0.0,9,0,
split_chain.py,explain_code,Explain order flow,1,52.0,0.0,1.0,1.0,1.0,0.2,0,6,
split_pipeline.py,rule_change,Tax rate change,1,89.56,1.0,1.0,0.971,1.0,0.0,2,0,
split_pipeline.py,feature_add_local,Add local rule (single stage),1,81.56,0.8,1.0,0.971,1.0,0.0,2,0,
split_pipeline.py,feature_add_crosscut,Add cross-cutting parameter (tenant_id),1,89.36,1.0,1.0,0.957,1.0,0.0,3,0,
split_pipeline.py,extract_reuse,Identify tax reuse points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,2,
split_pipeline.py,add_branch,Conditional stage skip (VIP free shipping),1,88.92,1.0,1.0,0.928,1.0,0.0,5,0,
split_pipeline.py,explain_code,Explain order flow,1,52.0,0.0,1.0,1.0,1.0,0.2,0,6,
